daily_bets,avg_bet_amount,sessions_per_day,time_spent_minutes,lost_money_days,won_money_days,self_exclusion_attempts,account_age_days,risk_level
8,39.91713087429663,7,93.04957606235338,10,21,0,880,2
7,61.63755196450751,4,56.46811776564759,12,18,0,917,2
5,60.827971365798305,7,104.52118566740172,5,19,1,469,0
2,59.06568825321783,5,94.72770566385113,17,15,0,580,2
3,74.8470272422093,8,103.34632918121153,7,13,2,522,0
1,132.56420392566173,9,129.76460100563347,15,12,0,198,1
3,24.098397476771915,8,103.55387933067045,23,15,0,724,3
3,26.11483454082559,1,59.06743951432343,13,11,0,80,1
2,42.149834426299236,8,137.80448147258633,11,7,1,524,1
6,45.22298679242899,8,125.20338697687157,18,17,2,387,3
5,39.22047219890975,5,122.43360879277355,6,29,0,299,1
7,20.580082953600588,5,99.74738580914838,25,9,1,149,4
5,93.942356832254,1,163.5010924292024,24,8,1,678,4
10,31.453039495602724,7,74.71862962873035,16,13,2,945,3
5,26.200168950704594,6,72.93626175359597,2,10,0,366,0
6,58.27977542535181,2,101.35696449447755,12,21,0,272,2
4,53.46376861170839,8,50.49123143069251,8,11,1,70,1
2,46.72714653939861,3,136.51841858557634,14,13,0,723,1
4,18.453183606315825,2,71.76748783330594,8,23,0,300,1
2,51.91586589672154,3,96.83278463514365,20,0,0,871,2
3,52.29548953899372,6,78.28185592571285,16,2,0,494,2
3,43.77838286541704,7,124.79195372765929,1,9,0,374,0
7,63.100835849532835,9,161.17891648900763,28,10,1,317,4
5,46.02789769332315,2,39.9196062921263,7,21,0,225,1
2,13.141747094230539,5,70.78960628906252,18,5,0,785,2
4,56.24159298069752,7,34.382846469906376,16,16,0,335,2
1,79.83699097532147,1,125.10599885870468,16,22,1,60,1
2,28.882856986278753,2,95.49816275376142,21,11,0,329,2
8,83.27242503996453,4,67.18567041805596,21,5,0,641,4
2,61.503221033516034,5,135.3297065099664,2,28,0,784,0
7,43.4240694578598,3,114.98343066646378,2,17,1,227,0
5,16.730529864249405,9,95.48851751372554,2,3,1,745,0
1,37.729507411058336,9,53.76068810069071,17,20,0,650,2
11,60.06173213342932,1,104.98397340381673,18,9,1,371,4
6,63.18467286784876,7,100.76528473980298,2,9,0,494,0
3,52.668127491006395,7,56.638023624914844,3,21,1,205,0
2,67.53964657568443,8,99.10984373431597,18,18,0,552,2
7,71.02993530889752,6,72.81506800077014,18,26,0,865,3
5,38.42709988945422,2,93.46901829317191,14,22,0,112,2
4,59.39074475916239,1,110.14503806745711,12,13,0,433,1
9,57.281072420869265,4,76.7803371798721,14,13,0,483,2
1,29.005829791859373,6,97.08801621562677,28,26,1,971,4
3,66.07696897635978,7,96.63191410721917,1,12,0,309,0
6,22.602892428365955,8,83.12977419441619,10,15,1,299,1
3,42.68242900849022,6,100.35090964409625,22,13,1,543,3
4,56.2235669380557,2,48.51745318976021,14,10,0,49,2
6,57.87639041494026,6,102.42179073411847,10,25,0,339,1
7,51.536692398917616,9,74.9733349106817,1,22,0,885,0
4,62.11130910375603,1,67.84044673902702,6,4,0,197,0
4,36.0905482902897,3,97.28770312125795,23,28,0,142,3
6,45.00841666498954,1,129.69614080062524,26,7,1,142,4
4,45.4530518240382,2,113.33305743700265,13,14,1,965,1
7,48.06553851702592,8,73.49454254314827,9,1,0,616,1
3,29.22652930900133,1,108.09761006308489,29,5,1,935,4
